1	2
1/అ	2
1అ	608
1/ఆ	2
1ఆ	397
1/ఇ	2
1ఇ1	671
2/1/1	60193
2/1/2	60191
2/2	1389
3/1/1	60520
3/1/2	60191
3/2	1389
4అ	859
4అ1	859
4ఆ2	322
4ఆ3	859
4ఇ	15024
5/అ/1	1909
5/ఆ/1	1909
5/ఇ/1	1909
5/ఈ	1909
5/ఈ1	1909
5/ఉ1	1909
6/1	1401
6/2	1401
6/3	60336
7/అ	1401
7ఆ	152
7ఆ2/1	942
8/అ/1	399
8ఆ1/1	284
8ఆ2/1	942
9/2	60480
9అ1/1	673
10అ1	528
10అ2	60162
10అ3/1	147
11/1/2	1446
11/1/3	1445
11/1/4	1444
11/1/5	1443
11/ఆ	1
12/అ1/1	60306
12/అ1/2	60307
12ఆ	60307
12ఇ1	60307
12/ఇ2	855
13అ2	60306
13ఆ1	60306
13/ఆ2	855
13ఇ	339
13/ఈ	1449
14-10/1	1151
14/1/1	78
14/11/1	436
14/11/2	60395
14/12	713
14/1/2	60358
14/13	302
14/14	1137
14/15	226
14/18	1533
14-2	226
14/2	1409
14/20	1918
14/22	60681
14/23	1028
14/3	943
14/5	147
14/5/1	78
14/5/2	60357
14/6	78
14-6/1	1028
14-7	1918
14/7	402
14-8	60355
14/8	402
14-9	1151
14/అ2	436
14/అ3	402
14/ఇ/1	1028
14/ఈ	1027
14/ఊ	1412
15	60362
15/11	1921
15/12	1055
15/13	1052
15/2	76
15/4	1400
15/8	1055
15/అ/1/1/1	1821
15/అ/1/1/2	60641
15/అ/1/2	60383
15/అ/1/3	60384
15/అ2	2037
15/అ/2/1	60378
15/అ/2/2	60641
15/అ3/1	1271
15/ఆ11	1460
15/ఆ3	1460
15/ఆ6	1044
15/ఆ7	1462
15/ఇ	60002
15/ఇ2-2/2	2511
15/ఈ4	78
15/ఈ6/1	1821
15/ఈ8	93
15/ఉ	1244
15/ఉ3	1244
15/ఉ/4	1244
15/రు	60002
16/ఆ	347
16/ఆ1	60494
16/ఈ3	347
16/ఈ3/1/1	347
16/ఈ3/1/2	60669
16/ఈ4/2/1	60494
16/ఈ4/2/2	60454
17	1467
17/11/1/1	57
17/11/1/2	60524
17/11/2	60523
17/1-2	60005
17/12/1/1/1/1/1	93
17/12/1/1/1/1/2	60753
17/12/1/1/1/2	60723
17/12/1/1/2	60351
17/12/1/2	60354
17/12/2	60351
17/16	1147
17/17/1/2	4009
17/17/2	4008
17/18	1468
17/19/1	1060
17/19/2	60482
17/21	1059
17/2/2	8002
17/6	1316
17/అ	1825
17/ఆ5/2	7542
17/ఆ5/3	7543
17/ఆ5/4	1938
17/ఈ1	34
17/ఈ/2	8002
17/ఈ3	1043
17/ఈ7	57
17/ఉ1	1468
17/ఉ1/1	34
17/ఉ2	1317
17/ఉ3	1317
17/ఉ4	1149
17/ఊ	1317
17/ఊ1	1316
17/ఊ2	1149
17/రూ1	1244
17/రూ3	1244
17/లు3/1	984
17/లు3/2	60492
18/1	1045
18/10	1460
18/11	435
18/12/2	60488
18/12/3	1028
18/2	1045
18/4	1046
18/5/1/1	1938
18/5/1/2	60348
18/6	975
18/7	1052
18/8	7543
18/9	1144
19	1271
19/1	60458
19/14	1470
19/16	1329
19/18	1921
19/21	76
19/23	1144
19/25	1055
19/4/1	1028
19/4/2	60761
19/4/3	60762
19/4/4	60763
19/5	1460
19/9	60363
19/ఆ/1/1/1/1	347
19/ఆ/1/1/1/2	60809
19/ఆ/1/1/2	60669
19/ఆ/1/2	60655
19/ఆ/2	347
19/ఆ3/1	100
19/ఆ5	34
19/ఇ1	1271
20	719
20/అ	60297
20/అ2	1043
20/ఆ10	1752
20/ఆ5	34
20/ఇ	719
20/ఉ3/1	147
21/అ3	34
21/ఆ1	57
21/ఆ2	93
21/ఆ3/1	1042
21/ఆ4/1	935
21/ఆ6	984
21/ఇ/1	935
22/అ3	34
23/ఆ3	789
24	60346
24/1	1472
24/అ1	1921
24/అ4	76
25/12	1028
25/13/2	4017
25/16/2	15004
25/16/3	8057
25/2	1921
25/3	1057
25/4/1	1057
25/4/2	60722
25/8	60297
25/9	1057
25/ఆ1	430
25/ఆ12	1432
25/ఆ3	60467
25/ఇ10/2	1028
25/ఇ10/2/2	1472
25/ఊ10	1472
25/ఊ11/1	60317
25/ఊ11/2	60316
26/5	1349
26/అ	932
26/అ/10	610
26/అ10/2	313
26/అ3/1	81
26/అ4	290
26/అ7/2	922
26/అ8	474
26/అ9	474
27/10	60297
27/1/2/1	975
27/12/1	60313
27/12/2	60314
27/12/3	60315
27/14	1032
27/7	1273
27/ఆ1	399
27/ఆ/1	60623
27/ఆ2	60013
27/ఆ/2/1	60318
27/ఆ/2/2	1479
27/ఆ/3	60622
27/ఇ1	529
27/ఈ1	60671
27/ఈ2	60297
27/ఈ3	719
27/ఈ4	975
27/ఈ6/2	4017
27/ఉ1	1029
27/ఉ4	976
27/ఊ	719
27/ఊ1	906
27/ఊ2	60671
28/14	1132
28/2	529
28/7/2	2515
28/8	1478
28/అ	1432
28/అ/2/1/1	60650
28/అ/2/1/2	60474
28/అ/2/2	60389
28/అ4	1273
28/అ5	1039
28/అ6	60414
28/ఆ	1021
