408/2	1945
595/అ2-2	60286
559/ఆ	60404
424/ఆ1/1	60126
445/అ	1468
570/అ1/1	1026
524/ఇ1	277
476/ఇ/2	60167
592అ1/2	475
465/ఆ1/1	60255
387	2672
549/అ	2730
337/ఈ-1	1871
592/ఈ5	1298
468/అ8	930
557/5	60686
484/ఉ	199
491/2	1968
469/ఈ1	1673
339/ఆ2	462
584/అ/2	1244
362/3/1/2	60467
551/రు2	2017
540/2-3	1334
513/2/2	60497
539/2	2005
367/ఆ/1/1/1	60239
516/3	43
563/ఆ-3	3574
561/2	60774
352/అ3	1310
575/ఇ1	1078
421/2/1/1	2200
569/అ-2	3574
430/ఆ4/2	60210
344/2	1524
339/ఆ9/2	60490
575/ఆ1	1198
488/2	1431
558/3	60771
485/ఇ	1197
584/ఈ2	1266
568/అ1/1/1	1490
546/ఆ3	2021
545/అ1	2017
589/అ	576
600/అ3	1249
355/అ1	1896
526/3	407
382/ఆ/3	1847
586/ఏ	2638
540/5	2713
553/ఆ2/2	2714
547/అ3/1/2	2777
432/అ	1440
485/ఈ	1608
586/లు/4	60727
492/అ/2	60456
466/ఈ5	60776
485/ఊ	773
585/ఇ10	1201
578/అ3	56
529/ఉ/2	466
469/ఇ-1	1430
546/ఉ	2021
423/2	2675
518/అ/2/1/2	60763
475/ఆ	60582
575/ఆ1/1	1197
592/ఉ/1	60633
589/ఇ2	1958
602/అ3	1249
602/ఆ	1249
362/6	493
371/ఆ1	1699
483/ఈ/1	2049
523	1866
553/అ2	2730
533/5	2001
559/1	843
372/ఆ1	60416
583/అ1	2708
545/ఆ/3	49
589/ఇ1/1	112
359/ఇ	471
472/ఆ2	221
545/అ3	2019
473/3	222
374/అ2	60711
550/ఆ4	1001
558/6	60771
359/అ1	975
557/6/2	60686
578/అ	1428
592/అ4/1	475
390/ఆ5	1374
586/ఊ2	16
584/ఈ1	136
586/ఇ3/2	305
359/ఈ1	167
542/11	659
585/ఇ7	586
461/ఆ4	925
576/ఆ3	2611
569/ఇ2	1078
420/అ/1	60524
590/ఆ4/2	60653
368/అ1	1896
525/అ3	1866
392/ఆ5	1417
519/ఇ	44
419	728
540/ఆ/2	14
484/అ1	1077
338/ఆ3	3421
552/ఈ4	2460
545/ఆ	938
466/1	1199
461/ఈ2	60610
522/ఆ2	37
397/1	60187
485/ఉ2-1	630
339/అ2/1	60734
549/ఆ3	1000
537/అ/1/1/1/2	60388
552/ఇ2	2024
537/అ/1/1/1/1/1	1192
542/8	215
475/ఇ-1	1431
352/ఆ1/1	1896
537/ఇ/2	1192
460/2	84
484/ఆ1	1973
540/2	250
467/2/1/1/2/2	60695
592/ఇ1	60643
393/ఇ3	1544
572/అ1	60588
581/ఈ3	1197
546/అ	112
466/ఈ4	549
485	1244
579/ఆ	56
531/అ/2	60308
534/2	1356
545/ఇ2	2017
430/ఆ3	2766
432/ఆ	1440
451/1/1/1	1045
595/అ3/2/2	1419
350	1874
544/ఆ	1509
343/1	40
392/ఇ2	555
469/ఈ	1473
590/అ2	548
577/అ-2	1197
340/1	3421
592/అ1/1	335
514/అ/2	60546
537/అ3	291
592/అ3/3/1	475
488/ఇ2	1537
511/6/2	60330
567/అ	1077
583/ఇ1/2	1973
558/ఆ1/2	60771
588/ఆ-3	2589
416/2	2200
584/ఇ6	60182
499/1	1230
461	1409
585/ఇ8	2045
468/ఆ/3	1964
475/ఈ/2	60167
508/అ5/1	60223
591/ఆ2	60285
528/ఇ2/1/1/1/1/1/1/2	60258
602/అ-2	1249
467/అ1	60692
583/అ3/2	1973
552/ఈ1	2031
389/3	60373
598/1	766
558/ఈ2	60773
358/అ3	261
583/ఇ1/1	1197
422/1	77
357/ఈ1	261
339/అ4	280
473/1/1	60018
560/ఆ1	2460
467/ఆ/2	60380
562/అ/2/1	3001
497/ఆ2	60041
546/రు1	464
459/రూ	916
462/2/2	60255
470/అ/1	60287
589	1673
472/అ	1325
420/ఆ/2/2	60228
522	2019
508/అ5/2	2755
433/ఇ	60210
337/ఈ1-1	1411
542/1	2011
589/అ1	1673
582/ఆ1	338
595/ఆ1-1	1301
545/ఇ1/1	2018
467/అ2	925
525/అ/1	164
528/ఆ1	60231
405/అ/1/2	60371
472/ఇ2	60413
597/అ2	1936
538/అ1	2003
586/లు/1	60724
553/అ1	1054
555/1	60694
339/అ8	60715
565/5	60014
594/ఆ/2	110
581/ఈ5	1081
515/అ/1	1121
529/అ4	1321
367/ఆ3/1	975
467/ఇ	60399
591అ/10	60754
439/ఇ3	357
367/ఆ5/1/1	106
557/6/1	60774
470/ఆ1/1	1473
351/అ1	60715
590/ఈ2	369
530/3	1356
583	1633
528/ఉ	60230
590/ఉ1	515
464/1	1968
526/ఆ2/3	60578
551/ఉ	2024
551/ఈ3	1481
535/అ/3	60456
595/ఆ	1301
592/ఈ1	515
405/అ/1/1/2	60378
464/2/2	60491
544/ఆ2	1510
590/ఆ3	1466
523/ఇ	277
542/6/2	60532
575/అ1/1	60291
548/అ1	357
472/ఏ1	365
571/1	2459
523/ఇ/2	859
365/1/1	1124
374/అ1	60416
352/ఆ4/1	826
461/అ3/1	60273
561/8	2460
360/ఇ	60688
584	181
338/అ3	60474
453/ఆ/2	30
557/7	60279
354/ఆ2	1309
472/ఆ5	60776
494/1	1468
535	291
557/2/1/1/1	2530
451/1/2	1043
437/ఆ1	1873
354/1	991
515/ఇ	60582
558/అ1	60395
535/2	178
585/ఇ1	1093
485/ఉ1/1	1466
485/ఉ1/2	2700
397/3	714
367/ఆ4/1	478
375/ఈ/1	531
578/ఆ1/1/2	2609
551/అ1	267
453/ఆ/3/3/2	60432
600/ఆ2	2756
481/ఆ2	60014
581/ఇ	60040
528/ఆ2	60231
471/అ2/2	60248
515/ఆ/2	2
467/2/2	60312
